item_code,item_name,unit,stats_data_id,field,kind,role,tier,group,col_name,notes,in_latest
H613002,H613002_織物・衣服・身の回り品小売店数（経済センサス‐基礎調査及び活動調査結果）,事業所,0000020208,H,basic,x,B,retail_detail,shops_apparel,衣料・身の回り品,yes
H613003,H613003_飲食料品小売店数（経済センサス-基礎調査結果）,事業所,0000020208,H,basic,x,B,retail_detail,shops_food_retail,飲食料品小売,yes
H613004,H613004_機械器具小売店数,事業所,0000020208,H,basic,x,B,retail_detail,shops_machinery,機械器具小売,yes
H613005,H613005_その他の小売店数,事業所,0000020208,H,basic,x,B,retail_detail,shops_other_retail,その他小売,yes
H613006,H613006_無店舗小売店数,事業所,0000020208,H,basic,x,B,retail_detail,shops_nonstore,無店舗小売,yes
#H06109,#H06109_大型小売店数（事業所・企業統計調査結果）（人口10万人当たり）,店,0000020308,H,indicator,x,B,retail_large,shops_large_legacy_per_100k,大型／10万人（旧）,yes
H6103,H6103_大型小売店数（事業所・企業統計調査結果）,事業所,0000020208,H,basic,x,B,retail_large,shops_large_legacy,大型小売（旧）,yes
C210712,C210712_事業所数（運輸業、郵便業）,所,0000020203,C,basic,x,B,transport,estab_transport,運輸・郵便,yes
C210714,C210714_事業所数（卸売業）,所,0000020203,C,basic,x,B,wholesale,estab_wholesale,卸売,yes
H810403,H810403_近隣商業地域面積,ｈａ,0000020208,H,basic,x,B,zoning,area_neighborhood_commercial_ha,近隣商業,yes
H810404,H810404_商業地域面積,ｈａ,0000020208,H,basic,x,B,zoning,area_commercial_ha,商業地域面積,yes
H810406,H810406_工業地域面積,ｈａ,0000020208,H,basic,x,B,zoning,area_industrial_ha,工業地域,yes
H810407,H810407_工業専用地域面積,ｈａ,0000020208,H,basic,x,B,zoning,area_exclusive_industrial_ha,工業専用,yes
#K06101,#K06101_刑法犯認知件数（人口千人当たり）,件,0000020311,K,indicator,y,Y,crime,y_crime_rate,主。刑法犯認知／千人,yes
K4201,K4201_刑法犯認知件数,件,0000020211,K,basic,y,Y,crime,y_crime_count,副。件数,yes
#K04101,#K04101_交通事故発生件数（人口10万人当たり）,件,0000020311,K,indicator,y,Y,traffic,y_traffic_rate,準。交通事故／10万人,yes
K3101,K3101_交通事故発生件数,件,0000020211,K,basic,y,Y,traffic,y_traffic_count,交通事故件数,yes
